Plate,Individual,Left,R,date,date of death,Measurement,Infection status,Batch,Exp_date,Sex,notes,date for notes
1,P1 4,11,15,07/24/22,,1,C,4,07/17/22,F,,
1,P1 5,0,3,07/24/22,,1,E-,4,07/17/22,F,,
1,P1 6,0,2,07/24/22,,1,E-,4,07/17/22,F,,
1,P1 7,0,2,07/24/22,,1,C,4,07/17/22,F,,
1,P1 8,21,25,07/24/22,,1,E-,4,07/17/22,F,e,7.24.2022
1,P1 9,5,10,07/24/22,,1,E-,4,07/17/22,F,,
1,P1 10,2,5,07/24/22,,1,C,4,07/17/22,F,,
1,P1 11,0,5,07/24/22,,1,E-,4,07/17/22,F,,
1,P1 12,4,10,07/24/22,,1,E-,4,07/17/22,F,,
1,P1 13,9,15,07/24/22,,1,C,4,07/17/22,F,e,7.24.2022
1,P1 14,0,3,07/24/22,,1,E-,4,07/17/22,F,,
1,P1 15,4,10,07/24/22,,1,E-,4,07/17/22,F,,
2,P2 1,17,25,07/24/22,,1,C,4,07/17/22,F,,
2,P2 2,4,10,07/24/22,,1,E-,4,07/17/22,F,,
2,P2 3,0,3,07/24/22,,1,E-,4,07/17/22,F,,
2,P2 4,7,15,07/24/22,,1,C,4,07/17/22,F,,
2,P2 5,1,3,07/24/22,,1,E+,4,07/17/22,F,,
2,P2 6,0,2,07/24/22,,1,E-,4,07/17/22,F,,
2,P2 7,0,2,07/24/22,,1,C,4,07/17/22,F,,
2,P2 8,18,25,07/24/22,,1,E-,4,07/17/22,F,,
2,P2 9,4,10,07/24/22,,1,E-,4,07/17/22,F,e,7.24.2022
2,P2 10,0,5,07/24/22,,1,C,4,07/17/22,F,,
2,P2 11,0,5,07/24/22,,1,E-,4,07/17/22,F,,
2,P2 12,5,10,07/24/22,,1,E-,4,07/17/22,F,,
2,P2 13,11,15,07/24/22,,1,C,4,07/17/22,F,e,7.24.2022
2,P2 14,0,3,07/24/22,,1,E-,4,07/17/22,F,,
2,P2 15,6,10,07/24/22,,1,E-,4,07/17/22,F,e,7.24.2022
3,P3 1,20,25,07/24/22,,1,C,4,07/17/22,F,,
3,P3 2,5,10,07/24/22,,1,E-,4,07/17/22,F,,
3,P3 3,0,3,07/24/22,,1,E-,4,07/17/22,F,,
3,P3 4,8,15,07/24/22,,1,C,4,07/17/22,F,,
3,P3 5,0,3,07/24/22,,1,E-,4,07/17/22,F,,
3,P3 6,0,2,07/24/22,,1,E-,4,07/17/22,F,,
3,P3 7,0,2,07/24/22,,1,C,4,07/17/22,F,,
3,P3 8,13,25,07/24/22,,1,E-,4,07/17/22,F,,
3,P3 9,3,10,07/24/22,,1,E-,4,07/17/22,F,,
3,P3 10,1,5,07/24/22,,1,C,4,07/17/22,F,e,7.24.2022
3,P3 11,1,5,07/24/22,,1,E-,4,07/17/22,F,e,7.24.2022
3,P3 12,4,10,07/24/22,,1,E-,4,07/17/22,F,,
3,P3 13,10,15,07/24/22,,1,C,4,07/17/22,F,e,7.24.2022
3,P3 14,0,3,07/24/22,,1,E-,4,07/17/22,F,e,7.24.2022
3,P3 15,5,10,07/24/22,,1,E-,4,07/17/22,F,,
1,P1 1,0,3,07/26/22,,2,C,4,07/17/22,F,e,7.26.2022
1,P1 2,0,5,07/26/22,,2,E-,4,07/17/22,F,,
1,P1 3,11,15,07/26/22,,2,E-,4,07/17/22,F,,
1,P1 4,17,25,07/26/22,,2,C,4,07/17/22,F,e,7.26.2022
1,P1 5,8,15,07/26/22,,2,E-,4,07/17/22,F,,
1,P1 6,1,5,07/26/22,,2,E-,4,07/17/22,F,,
1,P1 7,18,25,07/26/22,,2,C,4,07/17/22,F,,
